vehicle_id,bus_stop_name,expected_arrival,time_of_req,direction,arrived
11536_490012147E_2020-04-16_out_0,Hanover Road,2020-04-16 02:44:50,2020-04-16 02:44:21,out,1
11536_490014619S_2020-04-16_out_0,Whitmore Gardens,2020-04-16 02:47:31,2020-04-16 02:46:42,out,1
10292_490012550N_2020-04-16_in_0,Stanley Gardens,2020-04-16 02:45:18,2020-04-16 02:44:10,in,1
10607_490014728S_2020-04-16_out_0,Wilton Street,2020-04-16 02:45:07,2020-04-16 02:44:17,out,1
10292_490004099N_2020-04-16_in_0,Blenheim Crescent,2020-04-16 02:47:16,2020-04-16 02:47:07,in,1
10607_490014050C_2020-04-16_out_0,Victoria Bus Station,2020-04-16 02:47:17,2020-04-16 02:44:29,out,1
11536_490010521N_2020-04-16_out_0,Okehampton Road,2020-04-16 02:47:07,2020-04-16 02:47:11,out,1
10292_490G00003399_2020-04-16_in_0,Portobello and Golborne Market,2020-04-16 02:45:53,2020-04-16 02:44:37,in,1
11536_490003256N_2020-04-16_out_0,All Souls Avenue,2020-04-16 02:45:23,2020-04-16 02:44:32,out,1
10607_490004555P_2020-04-16_out_0,Buckingham Palace Rd / Bressenden Place,2020-04-16 02:46:35,2020-04-16 02:44:34,out,1
10292_490008898F_2020-04-16_in_0,St Charles Square,2020-04-16 02:50:01,2020-04-16 02:43:59,in,1
10292_490003619M_2020-04-16_in_0,Barlby Road,2020-04-16 02:49:16,2020-04-16 02:49:17,in,1
10292_490000131A_2020-04-16_in_0,Ladbroke Grove Station,2020-04-16 02:48:23,2020-04-16 02:44:01,in,1
11536_490007860S_2020-04-16_out_0,Harrow Road / Kilburn Lane,2020-04-16 02:50:24,2020-04-16 02:49:28,out,1
11536_490001161S1_2020-04-16_out_0,Kensal Rise Station,2020-04-16 02:47:53,2020-04-16 02:46:51,out,1
11536_490G00012622_2020-04-16_out_0,Station Terrace,2020-04-16 02:48:12,2020-04-16 02:46:56,out,1
10292_490005139C_2020-04-16_in_0,Chesterton Road,2020-04-16 02:49:04,2020-04-16 02:46:58,in,1
10292_490004737S_2020-04-16_in_0,Kensal House,2020-04-16 02:50:15,2020-04-16 02:49:45,in,1
10292_490G00008897_2020-04-16_in_0,Ladbroke Grove Sainsbury's,2020-04-16 02:51:00,2020-04-16 02:49:22,in,1
10292_490007860N_2020-04-16_in_0,Kilburn Lane / Harrow Road,2020-04-16 02:51:58,2020-04-16 02:49:18,in,1
11536_490G00008897_2020-04-16_out_0,Ladbroke Grove Sainsbury's,2020-04-16 02:51:51,2020-04-16 02:52:19,out,1
11536_490004737S_2020-04-16_out_0,Kensal House,2020-04-16 02:52:23,2020-04-16 02:52:30,out,1
11536_490003619M_2020-04-16_out_0,Barlby Road,2020-04-16 02:53:02,2020-04-16 02:52:38,out,1
10292_490003583S_2020-04-16_in_0,Banister Road,2020-04-16 02:53:02,2020-04-16 02:52:41,in,1
11536_490005139C_2020-04-16_out_0,Chesterton Road,2020-04-16 02:53:40,2020-04-16 02:49:22,out,1
11536_490008898F_2020-04-16_out_0,St Charles Square,2020-04-16 02:53:20,2020-04-16 02:49:25,out,1
10292_490001161N1_2020-04-16_in_0,Wrentham Avenue,2020-04-16 02:55:15,2020-04-16 02:54:50,in,1
11536_490000131A_2020-04-16_out_0,Ladbroke Grove Station,2020-04-16 02:54:56,2020-04-16 02:54:51,out,1
10292_490010521N_2020-04-16_in_0,Okehampton Road,2020-04-16 02:55:24,2020-04-16 02:49:21,in,1
10292_490001161S1_2020-04-16_in_0,Kensal Rise Station,2020-04-16 02:53:55,2020-04-16 02:49:54,in,1
10292_490012147E_2020-04-16_in_0,Hanover Road,2020-04-16 02:56:56,2020-04-16 02:49:30,in,1
10292_490014691W2_2020-04-16_in_0,Willesden Green Library,2020-04-16 02:58:21,2020-04-16 02:44:21,in,1
11536_490000167G_2020-04-16_out_0,Notting Hill Gate Station,2020-04-16 02:58:29,2020-04-16 02:44:26,out,1
11536_490012550S_2020-04-16_out_0,Chepstow Villas,2020-04-16 02:57:21,2020-04-16 02:44:30,out,1
10292_490003256N_2020-04-16_in_0,All Souls Avenue,2020-04-16 02:56:16,2020-04-16 02:49:36,in,1
11536_490G00003399_2020-04-16_out_0,Portobello and Golborne Market,2020-04-16 02:56:31,2020-04-16 02:44:38,out,1
10607_490G00119S_2020-04-16_in_0,Hyde Park Corner,2020-04-16 03:00:30,2020-04-16 02:58:02,in,1
11536_490000167K_2020-04-16_out_0,Palace Gardens Terr / Notting Hill Gte,2020-04-16 02:58:48,2020-04-16 02:57:47,out,1
11536_490010536K_2020-04-16_out_0,York House Place / Kensington High St,2020-04-16 03:00:17,2020-04-16 03:00:10,out,1
10292_490G00014688_2020-04-16_in_0,Strode Road,2020-04-16 02:59:50,2020-04-16 02:44:15,in,1
11536_490012055N_2020-04-16_out_0,Sheffield Terrace,2020-04-16 02:59:22,2020-04-16 02:57:46,out,1
10292_490014687W1_2020-04-16_in_0,Pound Lane,2020-04-16 03:00:31,2020-04-16 02:44:16,in,1
10607_490007544Q_2020-04-16_in_0,Grosvenor Gardens,2020-04-16 02:58:58,2020-04-16 02:58:06,in,1
10292_490G00014088_2020-04-16_in_0,Villiers Road,2020-04-16 02:59:33,2020-04-16 02:44:35,in,1
10607_490014728S_2020-04-16_in_0,Wilton Street,2020-04-16 02:59:26,2020-04-16 02:58:11,in,1
10607_490011822W_2020-04-16_in_0,Knightsbridge Barracks,2020-04-16 03:03:49,2020-04-16 03:00:14,in,1
10607_490000119M_2020-04-16_in_0,Hyde Park Corner Station,2020-04-16 03:01:27,2020-04-16 02:57:52,in,1
11536_490G00010728_2020-04-16_out_0,Palace Gate,2020-04-16 03:03:21,2020-04-16 03:03:14,out,1
11536_490011761M_2020-04-16_out_0,Kensington Palace,2020-04-16 03:01:49,2020-04-16 03:00:30,out,1
10607_490000130KE_2020-04-16_in_0,Knightsbridge Station  / Harrods,2020-04-16 03:02:40,2020-04-16 03:02:54,in,1
11536_490G00019923_2020-04-16_out_0,Queen's Gate,2020-04-16 03:04:01,2020-04-16 03:03:18,out,1
10607_490006691W_2020-04-16_in_0,Exhibition Road,2020-04-16 03:05:32,2020-04-16 03:05:42,in,1
10607_490011750W_2020-04-16_in_0,Royal Albert Hall,2020-04-16 03:06:29,2020-04-16 03:05:43,in,1
11536_490011750W_2020-04-16_out_0,Royal Albert Hall,2020-04-16 03:06:03,2020-04-16 03:06:00,out,1
10607_490011198W_2020-04-16_in_0,Prince Of Wales Gate,2020-04-16 03:04:10,2020-04-16 03:02:51,in,1
11536_490011198W_2020-04-16_out_0,Prince Of Wales Gate,2020-04-16 03:07:20,2020-04-16 03:05:56,out,1
10607_490G00008288_2020-04-16_in_0,Kensington Church Street / Holland St,2020-04-16 03:09:12,2020-04-16 03:08:37,in,1
11536_490G00011822_2020-04-16_out_0,Rutland Gardens,2020-04-16 03:07:58,2020-04-16 03:05:59,out,1
10607_490G00010728_2020-04-16_in_0,Palace Gate,2020-04-16 03:07:12,2020-04-16 03:03:28,in,1
11536_490000130KE_2020-04-16_out_0,Knightsbridge Station  / Harrods,2020-04-16 03:08:52,2020-04-16 03:08:48,out,1
10607_490011761M_2020-04-16_in_0,Kensington Palace,2020-04-16 03:08:33,2020-04-16 02:58:10,in,1
11536_490000119M_2020-04-16_out_0,Hyde Park Corner Station,2020-04-16 03:10:55,2020-04-16 03:08:32,out,1
10292_490014687E_2020-04-16_out_0,Willesden Bus Garage,2020-04-16 03:11:10,2020-04-16 02:44:06,out,1
10607_490000167G_2020-04-16_in_0,Notting Hill Gate Station,2020-04-16 03:11:12,2020-04-16 03:03:01,in,1
10607_490012055N_2020-04-16_in_0,Sheffield Terrace,2020-04-16 03:09:59,2020-04-16 03:02:52,in,1
10292_490014687N_2020-04-16_out_0,Pound Lane / Willesden Bus Garage,2020-04-16 03:10:15,2020-04-16 02:44:16,out,1
11536_490G00119S_2020-04-16_out_0,Hyde Park Corner,2020-04-16 03:11:45,2020-04-16 03:11:36,out,1
11536_490014728S_2020-04-16_out_0,Wilton Street,2020-04-16 03:12:31,2020-04-16 03:11:14,out,1
10607_490G00019160_2020-04-16_in_0,Ladbroke Road,2020-04-16 03:12:08,2020-04-16 03:11:25,in,1
11536_490004555P_2020-04-16_out_0,Buckingham Palace Rd / Bressenden Place,2020-04-16 03:14:23,2020-04-16 03:11:32,out,1
10607_490012550N_2020-04-16_in_0,Stanley Gardens,2020-04-16 03:13:37,2020-04-16 03:11:06,in,1
10292_490G00014088_2020-04-16_out_0,Villiers Road,2020-04-16 03:12:02,2020-04-16 02:44:40,out,1
10607_490G00003399_2020-04-16_in_0,Portobello and Golborne Market,2020-04-16 03:14:02,2020-04-16 03:11:34,in,1
