vehicle_id,bus_stop_name,expected_arrival,time_of_req,direction,arrived
10292_490014691W2_2020-04-16_out_0,Willesden Green Library,2020-04-16 03:15:07,2020-04-16 03:14:08,out,1
10607_490004099N_2020-04-16_in_0,Blenheim Crescent,2020-04-16 03:15:06,2020-04-16 03:11:24,in,1
11536_490014050C_2020-04-16_out_0,Victoria Bus Station,2020-04-16 03:14:56,2020-04-16 03:11:26,out,1
10292_490003256N_2020-04-16_out_0,All Souls Avenue,2020-04-16 03:17:18,2020-04-16 03:14:10,out,1
10607_490000131A_2020-04-16_in_0,Ladbroke Grove Station,2020-04-16 03:16:57,2020-04-16 03:16:23,in,1
10292_490012147E_2020-04-16_out_0,Hanover Road,2020-04-16 03:16:35,2020-04-16 03:13:59,out,1
10292_490010521N_2020-04-16_out_0,Okehampton Road,2020-04-16 03:18:04,2020-04-16 03:14:09,out,1
10292_490014619S_2020-04-16_out_0,Whitmore Gardens,2020-04-16 03:18:27,2020-04-16 03:13:40,out,1
10292_490001161S1_2020-04-16_out_0,Kensal Rise Station,2020-04-16 03:19:08,2020-04-16 03:13:49,out,1
10292_490G00012622_2020-04-16_out_0,Station Terrace,2020-04-16 03:19:01,2020-04-16 03:19:18,out,1
10607_490008898F_2020-04-16_in_0,St Charles Square,2020-04-16 03:17:49,2020-04-16 03:16:21,in,1
10607_490003619M_2020-04-16_in_0,Barlby Road,2020-04-16 03:18:35,2020-04-16 03:16:21,in,1
10607_490005139C_2020-04-16_in_0,Chesterton Road,2020-04-16 03:17:26,2020-04-16 03:16:40,in,1
10607_490004737S_2020-04-16_in_0,Kensal House,2020-04-16 03:19:01,2020-04-16 03:16:48,in,1
10607_490G00008897_2020-04-16_in_0,Ladbroke Grove Sainsbury's,2020-04-16 03:19:36,2020-04-16 03:13:42,in,1
10292_490G00008897_2020-04-16_out_0,Ladbroke Grove Sainsbury's,2020-04-16 03:22:05,2020-04-16 03:19:16,out,1
10292_490004737S_2020-04-16_out_0,Kensal House,2020-04-16 03:22:31,2020-04-16 03:14:02,out,1
10607_490001161S1_2020-04-16_in_0,Kensal Rise Station,2020-04-16 03:22:34,2020-04-16 03:16:57,in,1
10607_490007860N_2020-04-16_in_0,Kilburn Lane / Harrow Road,2020-04-16 03:20:32,2020-04-16 03:13:38,in,1
10292_490007860S_2020-04-16_out_0,Harrow Road / Kilburn Lane,2020-04-16 03:20:47,2020-04-16 03:19:13,out,1
10607_490003583S_2020-04-16_in_0,Banister Road,2020-04-16 03:21:13,2020-04-16 03:14:13,in,1
10607_490001161N1_2020-04-16_in_0,Wrentham Avenue,2020-04-16 03:23:11,2020-04-16 03:16:23,in,1
10607_490010521N_2020-04-16_in_0,Okehampton Road,2020-04-16 03:23:48,2020-04-16 03:16:25,in,1
10292_490003619M_2020-04-16_out_0,Barlby Road,2020-04-16 03:23:21,2020-04-16 03:14:10,out,1
10607_490012147E_2020-04-16_in_0,Hanover Road,2020-04-16 03:24:15,2020-04-16 03:24:36,in,1
10292_490005139C_2020-04-16_out_0,Chesterton Road,2020-04-16 03:24:17,2020-04-16 03:21:47,out,1
10292_490008898F_2020-04-16_out_0,St Charles Square,2020-04-16 03:23:50,2020-04-16 03:19:09,out,1
10292_490000131A_2020-04-16_out_0,Ladbroke Grove Station,2020-04-16 03:25:05,2020-04-16 03:19:05,out,1
10607_490003256N_2020-04-16_in_0,All Souls Avenue,2020-04-16 03:24:26,2020-04-16 03:22:00,in,1
10607_490014687W1_2020-04-16_in_0,Pound Lane,2020-04-16 03:28:02,2020-04-16 03:27:20,in,1
10607_490G00014688_2020-04-16_in_0,Strode Road,2020-04-16 03:27:16,2020-04-16 03:27:19,in,1
10607_490014691W2_2020-04-16_in_0,Willesden Green Library,2020-04-16 03:25:38,2020-04-16 03:24:45,in,1
10292_490G00003399_2020-04-16_out_0,Portobello and Golborne Market,2020-04-16 03:27:15,2020-04-16 03:14:16,out,1
10607_490G00014088_2020-04-16_in_0,Villiers Road,2020-04-16 03:26:29,2020-04-16 03:22:18,in,1
11536_490014728S_2020-04-16_in_0,Wilton Street,2020-04-16 03:30:40,2020-04-16 03:27:42,in,1
10292_490012550S_2020-04-16_out_0,Chepstow Villas,2020-04-16 03:28:14,2020-04-16 03:14:09,out,1
10292_490012055N_2020-04-16_out_0,Sheffield Terrace,2020-04-16 03:30:13,2020-04-16 03:29:58,out,1
10292_490000167G_2020-04-16_out_0,Notting Hill Gate Station,2020-04-16 03:29:24,2020-04-16 03:14:04,out,1
10292_490000167K_2020-04-16_out_0,Palace Gardens Terr / Notting Hill Gte,2020-04-16 03:29:31,2020-04-16 03:29:58,out,1
11536_490007544Q_2020-04-16_in_0,Grosvenor Gardens,2020-04-16 03:29:44,2020-04-16 03:27:37,in,1
11808_490G00014088_2020-04-16_out_0,Villiers Road,2020-04-16 03:30:20,2020-04-16 03:30:25,out,1
11808_490014691W2_2020-04-16_out_0,Willesden Green Library,2020-04-16 03:31:37,2020-04-16 03:30:15,out,1
10292_490010536K_2020-04-16_out_0,York House Place / Kensington High St,2020-04-16 03:31:32,2020-04-16 03:29:43,out,1
10292_490011761M_2020-04-16_out_0,Kensington Palace,2020-04-16 03:33:01,2020-04-16 03:32:41,out,1
11536_490000119M_2020-04-16_in_0,Hyde Park Corner Station,2020-04-16 03:31:46,2020-04-16 03:27:22,in,1
11536_490G00119S_2020-04-16_in_0,Hyde Park Corner,2020-04-16 03:30:46,2020-04-16 03:30:15,in,1
11536_490000130KE_2020-04-16_in_0,Knightsbridge Station  / Harrods,2020-04-16 03:33:18,2020-04-16 03:27:03,in,1
11808_490012147E_2020-04-16_out_0,Hanover Road,2020-04-16 03:33:13,2020-04-16 03:30:06,out,1
11808_490001161S1_2020-04-16_out_0,Kensal Rise Station,2020-04-16 03:35:35,2020-04-16 03:29:56,out,1
11808_490010521N_2020-04-16_out_0,Okehampton Road,2020-04-16 03:34:36,2020-04-16 03:30:17,out,1
11536_490011822W_2020-04-16_in_0,Knightsbridge Barracks,2020-04-16 03:34:03,2020-04-16 03:27:04,in,1
11536_490011198W_2020-04-16_in_0,Prince Of Wales Gate,2020-04-16 03:35:21,2020-04-16 03:35:00,in,1
10292_490G00010728_2020-04-16_out_0,Palace Gate,2020-04-16 03:33:47,2020-04-16 03:32:44,out,1
11808_490014619S_2020-04-16_out_0,Whitmore Gardens,2020-04-16 03:34:58,2020-04-16 03:29:46,out,1
11808_490G00012622_2020-04-16_out_0,Station Terrace,2020-04-16 03:36:03,2020-04-16 03:30:00,out,1
11808_490003256N_2020-04-16_out_0,All Souls Avenue,2020-04-16 03:33:51,2020-04-16 03:30:17,out,1
10292_490G00019923_2020-04-16_out_0,Queen's Gate,2020-04-16 03:35:02,2020-04-16 03:19:27,out,1
10292_490011750W_2020-04-16_out_0,Royal Albert Hall,2020-04-16 03:35:12,2020-04-16 03:32:52,out,1
11536_490006691W_2020-04-16_in_0,Exhibition Road,2020-04-16 03:36:10,2020-04-16 03:35:12,in,1
11536_490011761M_2020-04-16_in_0,Kensington Palace,2020-04-16 03:38:21,2020-04-16 03:35:40,in,1
11536_490011750W_2020-04-16_in_0,Royal Albert Hall,2020-04-16 03:36:53,2020-04-16 03:35:13,in,1
10292_490011198W_2020-04-16_out_0,Prince Of Wales Gate,2020-04-16 03:36:24,2020-04-16 03:35:25,out,1
10292_490G00011822_2020-04-16_out_0,Rutland Gardens,2020-04-16 03:36:52,2020-04-16 03:35:28,out,1
11536_490G00010728_2020-04-16_in_0,Palace Gate,2020-04-16 03:37:17,2020-04-16 03:35:36,in,1
11808_490007860S_2020-04-16_out_0,Harrow Road / Kilburn Lane,2020-04-16 03:38:45,2020-04-16 03:29:55,out,1
10292_490000130KE_2020-04-16_out_0,Knightsbridge Station  / Harrods,2020-04-16 03:38:17,2020-04-16 03:38:19,out,1
11744_490014619S_2020-04-16_out_0,Whitmore Gardens,2020-04-16 03:44:35,2020-04-16 03:43:07,out,1
11744_490001161S1_2020-04-16_out_0,Kensal Rise Station,2020-04-16 03:44:49,2020-04-16 03:43:16,out,1
11744_490012147E_2020-04-16_out_0,Hanover Road,2020-04-16 03:42:50,2020-04-16 03:40:46,out,1
11536_490012055N_2020-04-16_in_0,Sheffield Terrace,2020-04-16 03:40:09,2020-04-16 03:37:40,in,1
11536_490000167G_2020-04-16_in_0,Notting Hill Gate Station,2020-04-16 03:41:22,2020-04-16 03:37:50,in,1
11536_490G00019160_2020-04-16_in_0,Ladbroke Road,2020-04-16 03:42:28,2020-04-16 03:38:11,in,1
10292_490004555P_2020-04-16_out_0,Buckingham Palace Rd / Bressenden Place,2020-04-16 03:43:55,2020-04-16 03:14:13,out,1
10292_490014050C_2020-04-16_out_0,Victoria Bus Station,2020-04-16 03:44:14,2020-04-16 03:43:34,out,1
11808_490005139C_2020-04-16_out_0,Chesterton Road,2020-04-16 03:41:35,2020-04-16 03:40:29,out,1
11808_490000167K_2020-04-16_out_0,Palace Gardens Terr / Notting Hill Gte,2020-04-16 03:47:32,2020-04-16 03:37:56,out,1
11808_490003619M_2020-04-16_out_0,Barlby Road,2020-04-16 03:41:07,2020-04-16 03:38:15,out,1
11744_490G00012622_2020-04-16_out_0,Station Terrace,2020-04-16 03:45:15,2020-04-16 03:43:21,out,1
11808_490008898F_2020-04-16_out_0,St Charles Square,2020-04-16 03:41:05,2020-04-16 03:40:32,out,1
11808_490004737S_2020-04-16_out_0,Kensal House,2020-04-16 03:40:39,2020-04-16 03:38:07,out,1
11808_490012055N_2020-04-16_out_0,Sheffield Terrace,2020-04-16 03:47:48,2020-04-16 03:40:38,out,1
10292_490000119M_2020-04-16_out_0,Hyde Park Corner Station,2020-04-16 03:39:47,2020-04-16 03:38:03,out,1
11536_490012550N_2020-04-16_in_0,Stanley Gardens,2020-04-16 03:43:38,2020-04-16 03:37:52,in,1
11808_490G00003399_2020-04-16_out_0,Portobello and Golborne Market,2020-04-16 03:44:13,2020-04-16 03:38:21,out,1
10292_490G00119S_2020-04-16_out_0,Hyde Park Corner,2020-04-16 03:42:06,2020-04-16 03:41:04,out,1
11536_490G00003399_2020-04-16_in_0,Portobello and Golborne Market,2020-04-16 03:44:25,2020-04-16 03:43:42,in,1
11808_490000167G_2020-04-16_out_0,Notting Hill Gate Station,2020-04-16 03:45:43,2020-04-16 03:40:51,out,1
11536_490000131A_2020-04-16_in_0,Ladbroke Grove Station,2020-04-16 03:47:12,2020-04-16 03:29:45,in,1
11808_490012550S_2020-04-16_out_0,Chepstow Villas,2020-04-16 03:45:00,2020-04-16 03:40:56,out,1
11808_490G00008897_2020-04-16_out_0,Ladbroke Grove Sainsbury's,2020-04-16 03:39:56,2020-04-16 03:37:56,out,1
11536_490G00008288_2020-04-16_in_0,Kensington Church Street / Holland St,2020-04-16 03:39:08,2020-04-16 03:38:08,in,1
10292_490014728S_2020-04-16_out_0,Wilton Street,2020-04-16 03:43:02,2020-04-16 03:40:43,out,1
11536_490004099N_2020-04-16_in_0,Blenheim Crescent,2020-04-16 03:45:50,2020-04-16 03:43:33,in,1
11744_490007860S_2020-04-16_out_0,Harrow Road / Kilburn Lane,2020-04-16 03:47:33,2020-04-16 03:43:16,out,1
11808_490000131A_2020-04-16_out_0,Ladbroke Grove Station,2020-04-16 03:42:02,2020-04-16 03:40:26,out,1
11744_490014691W2_2020-04-16_out_0,Willesden Green Library,2020-04-16 03:41:26,2020-04-16 03:40:55,out,1
11744_490010521N_2020-04-16_out_0,Okehampton Road,2020-04-16 03:43:41,2020-04-16 03:43:37,out,1
11744_490003256N_2020-04-16_out_0,All Souls Avenue,2020-04-16 03:43:50,2020-04-16 03:40:58,out,1
11536_490003619M_2020-04-16_in_0,Barlby Road,2020-04-16 03:49:18,2020-04-16 03:29:44,in,1
11744_490008898F_2020-04-16_out_0,St Charles Square,2020-04-16 03:52:19,2020-04-16 03:40:32,out,1
11536_490007860N_2020-04-16_in_0,Kilburn Lane / Harrow Road,2020-04-16 03:50:13,2020-04-16 03:50:05,in,1
11808_490010536K_2020-04-16_out_0,York House Place / Kensington High St,2020-04-16 03:49:09,2020-04-16 03:40:21,out,1
11808_490G00010728_2020-04-16_out_0,Palace Gate,2020-04-16 03:51:53,2020-04-16 03:38:03,out,1
11536_490G00008897_2020-04-16_in_0,Ladbroke Grove Sainsbury's,2020-04-16 03:50:55,2020-04-16 03:32:28,in,1
11808_490011761M_2020-04-16_out_0,Kensington Palace,2020-04-16 03:50:53,2020-04-16 03:38:00,out,1
11744_490003619M_2020-04-16_out_0,Barlby Road,2020-04-16 03:50:41,2020-04-16 03:43:37,out,1
11808_490G00019923_2020-04-16_out_0,Queen's Gate,2020-04-16 03:52:41,2020-04-16 03:38:07,out,1
11744_490G00008897_2020-04-16_out_0,Ladbroke Grove Sainsbury's,2020-04-16 03:49:22,2020-04-16 03:43:19,out,1
11536_490005139C_2020-04-16_in_0,Chesterton Road,2020-04-16 03:48:35,2020-04-16 03:32:42,in,1
11744_490004737S_2020-04-16_out_0,Kensal House,2020-04-16 03:50:10,2020-04-16 03:43:30,out,1
11808_490011750W_2020-04-16_out_0,Royal Albert Hall,2020-04-16 03:52:34,2020-04-16 03:52:43,out,1
11536_490008898F_2020-04-16_in_0,St Charles Square,2020-04-16 03:48:37,2020-04-16 03:29:43,in,1
10271_490014619S_2020-04-16_out_0,Whitmore Gardens,2020-04-16 03:50:56,2020-04-16 03:50:07,out,1
10271_490001161S1_2020-04-16_out_0,Kensal Rise Station,2020-04-16 03:51:58,2020-04-16 03:50:19,out,1
11536_490004737S_2020-04-16_in_0,Kensal House,2020-04-16 03:50:09,2020-04-16 03:32:51,in,1
11536_490003583S_2020-04-16_in_0,Banister Road,2020-04-16 03:51:48,2020-04-16 03:43:40,in,1
11808_490014728S_2020-04-16_out_0,Wilton Street,2020-04-16 03:59:17,2020-04-16 03:52:33,out,1
11744_490000167K_2020-04-16_out_0,Palace Gardens Terr / Notting Hill Gte,2020-04-16 03:58:19,2020-04-16 03:40:39,out,1
11744_490G00019923_2020-04-16_out_0,Queen's Gate,2020-04-16 03:56:49,2020-04-16 03:52:40,out,1
11744_490011750W_2020-04-16_out_0,Royal Albert Hall,2020-04-16 03:58:32,2020-04-16 03:52:43,out,1
11808_490G00011822_2020-04-16_out_0,Rutland Gardens,2020-04-16 03:54:52,2020-04-16 03:38:08,out,1
11808_490000130KE_2020-04-16_out_0,Knightsbridge Station  / Harrods,2020-04-16 03:55:02,2020-04-16 03:52:51,out,1
11536_490001161N1_2020-04-16_in_0,Wrentham Avenue,2020-04-16 03:53:17,2020-04-16 03:50:07,in,1
11536_490012147E_2020-04-16_in_0,Hanover Road,2020-04-16 03:55:18,2020-04-16 03:50:19,in,1
11536_490014691W2_2020-04-16_in_0,Willesden Green Library,2020-04-16 03:57:21,2020-04-16 03:57:25,in,1
11536_490014687W1_2020-04-16_in_0,Pound Lane,2020-04-16 03:59:40,2020-04-16 03:59:58.901000,in,1
11808_490000119M_2020-04-16_out_0,Hyde Park Corner Station,2020-04-16 03:57:10,2020-04-16 03:57:24,out,1
11808_490011198W_2020-04-16_out_0,Prince Of Wales Gate,2020-04-16 03:54:26,2020-04-16 03:38:06,out,1
10292_490007544Q_2020-04-16_in_0,Grosvenor Gardens,2020-04-16 03:58:48,2020-04-16 03:57:38,in,1
11744_490012055N_2020-04-16_out_0,Sheffield Terrace,2020-04-16 03:53:47,2020-04-16 03:50:20,out,1
10271_490007860S_2020-04-16_out_0,Harrow Road / Kilburn Lane,2020-04-16 03:54:19,2020-04-16 03:50:18,out,1
11536_490010521N_2020-04-16_in_0,Okehampton Road,2020-04-16 03:53:56,2020-04-16 03:50:09,in,1
11744_490G00011822_2020-04-16_out_0,Rutland Gardens,2020-04-16 03:58:52,2020-04-16 03:57:30,out,1
11536_490G00014688_2020-04-16_in_0,Strode Road,2020-04-16 03:58:32,2020-04-16 03:57:19,in,1
11744_490000131A_2020-04-16_out_0,Ladbroke Grove Station,2020-04-16 03:53:39,2020-04-16 03:40:26,out,1
10271_490000131A_2020-04-16_out_0,Ladbroke Grove Station,2020-04-16 03:59:06,2020-04-16 03:50:08,out,1
10271_490005139C_2020-04-16_out_0,Chesterton Road,2020-04-16 03:58:22,2020-04-16 03:50:09,out,1
11744_490011198W_2020-04-16_out_0,Prince Of Wales Gate,2020-04-16 03:58:16,2020-04-16 03:57:27,out,1
11536_490003256N_2020-04-16_in_0,All Souls Avenue,2020-04-16 03:55:00,2020-04-16 03:52:33,in,1
11744_490012550S_2020-04-16_out_0,Chepstow Villas,2020-04-16 03:56:14,2020-04-16 03:40:56,out,1
11744_490000130KE_2020-04-16_out_0,Knightsbridge Station  / Harrods,2020-04-16 03:59:24,2020-04-16 03:57:41,out,1
10271_490012550S_2020-04-16_out_0,Chepstow Villas,2020-04-16 03:58:34,2020-04-16 03:57:35,out,1
11744_490011761M_2020-04-16_out_0,Kensington Palace,2020-04-16 03:55:04,2020-04-16 03:52:33,out,1
11536_490001161S1_2020-04-16_in_0,Kensal Rise Station,2020-04-16 03:52:49,2020-04-16 03:52:51,in,1
11536_490G00014088_2020-04-16_in_0,Villiers Road,2020-04-16 03:57:58,2020-04-16 03:57:40,in,1
11744_490G00010728_2020-04-16_out_0,Palace Gate,2020-04-16 03:56:29,2020-04-16 03:52:36,out,1
11744_490000167G_2020-04-16_out_0,Notting Hill Gate Station,2020-04-16 03:57:20,2020-04-16 03:40:51,out,1
11808_490G00119S_2020-04-16_out_0,Hyde Park Corner,2020-04-16 03:58:29,2020-04-16 03:52:54,out,1
10271_490004737S_2020-04-16_out_0,Kensal House,2020-04-16 03:56:25,2020-04-16 03:52:39,out,1
11744_490G00003399_2020-04-16_out_0,Portobello and Golborne Market,2020-04-16 03:55:27,2020-04-16 03:41:03,out,1
10271_490008898F_2020-04-16_out_0,St Charles Square,2020-04-16 03:58:08,2020-04-16 03:50:12,out,1
11744_490010536K_2020-04-16_out_0,York House Place / Kensington High St,2020-04-16 03:56:02,2020-04-16 03:50:03,out,1
11744_490005139C_2020-04-16_out_0,Chesterton Road,2020-04-16 03:52:49,2020-04-16 03:40:29,out,1
10271_490003619M_2020-04-16_out_0,Barlby Road,2020-04-16 03:56:55,2020-04-16 03:52:47,out,1
10271_490G00003399_2020-04-16_out_0,Portobello and Golborne Market,2020-04-16 03:58:10,2020-04-16 03:57:43,out,1
11744_490014728S_2020-04-16_out_0,Wilton Street,2020-04-16 04:04:04,2020-04-16 03:57:21,out,1
10292_490G00119S_2020-04-16_in_0,Hyde Park Corner,2020-04-16 04:00:45,2020-04-16 03:57:34,in,1
10292_490014728S_2020-04-16_in_0,Wilton Street,2020-04-16 03:59:46,2020-04-16 03:57:43,in,1
10292_490000130KE_2020-04-16_in_0,Knightsbridge Station  / Harrods,2020-04-16 04:03:00,2020-04-16 03:57:06,in,1
10271_490010536K_2020-04-16_out_0,York House Place / Kensington High St,2020-04-16 04:02:21,2020-04-16 03:59:40,out,1
10271_490000167G_2020-04-16_out_0,Notting Hill Gate Station,2020-04-16 04:00:00,2020-04-16 03:57:30,out,1
