vehicle_id,bus_stop_id,time_of_arrival,time_of_req,direction
7442_490000038F_2020-05-19_inbound_0,490000038F,2020-05-19 17:07:10,2020-05-19 16:58:51.237,inbound
6890_490000038F_2020-05-19_outbound_0,490000038F,2020-05-19 17:09:44,2020-05-19 16:58:51.237,outbound
7440_490000038F_2020-05-19_outbound_0,490000038F,2020-05-19 17:23:17,2020-05-19 16:58:51.237,outbound
6139_490000038F_2020-05-19_inbound_0,490000038F,2020-05-19 17:18:18,2020-05-19 16:58:51.237,inbound
7335_490014374N_2020-05-19_inbound_0,490014374N,2020-05-19 17:17:12,2020-05-19 16:56:21.923,inbound
5494_490014374N_2020-05-19_inbound_0,490014374N,2020-05-19 17:08:42,2020-05-19 16:56:21.923,inbound
7440_490011653S_2020-05-19_outbound_0,490011653S,2020-05-19 17:05:39,2020-05-19 16:56:22.388,outbound
6507_490011653S_2020-05-19_outbound_0,490011653S,2020-05-19 17:12:14,2020-05-19 16:56:22.388,outbound
6888_490011653S_2020-05-19_outbound_0,490011653S,2020-05-19 17:21:14,2020-05-19 16:56:22.388,outbound
7275_490003602N_2020-05-19_outbound_0,490003602N,2020-05-19 17:08:17,2020-05-19 16:56:22.86,outbound
6890_490003602N_2020-05-19_outbound_0,490003602N,2020-05-19 17:12:44,2020-05-19 16:56:22.86,outbound
6888_490012569E_2020-05-19_outbound_0,490012569E,2020-05-19 17:04:36,2020-05-19 16:56:23.471,outbound
7441_490012569E_2020-05-19_outbound_0,490012569E,2020-05-19 17:15:20,2020-05-19 16:56:23.471,outbound
6234_490012569E_2020-05-19_outbound_0,490012569E,2020-05-19 17:26:20,2020-05-19 16:56:23.471,outbound
7275_490006092S_2020-05-19_outbound_0,490006092S,2020-05-19 17:09:49,2020-05-19 16:56:24.034,outbound
6890_490006092S_2020-05-19_outbound_0,490006092S,2020-05-19 17:13:08,2020-05-19 16:56:24.034,outbound
7440_490009645W_2020-05-19_outbound_0,490009645W,2020-05-19 16:59:04,2020-05-19 16:56:24.861,outbound
6507_490009645W_2020-05-19_outbound_0,490009645W,2020-05-19 17:03:14,2020-05-19 16:56:24.861,outbound
6888_490009645W_2020-05-19_outbound_0,490009645W,2020-05-19 17:12:43,2020-05-19 16:56:24.861,outbound
7442_490G000925_2020-05-19_inbound_0,490G000925,2020-05-19 17:19:03,2020-05-19 17:03:33.755,inbound
7441_490009645W_2020-05-19_outbound_0,490009645W,2020-05-19 17:23:04,2020-05-19 16:56:24.861,outbound
6888_490005945G_2020-05-19_outbound_0,490005945G,2020-05-19 17:01:28,2020-05-19 16:56:25.372,outbound
7441_490005945G_2020-05-19_outbound_0,490005945G,2020-05-19 17:12:17,2020-05-19 16:56:25.372,outbound
6234_490005945G_2020-05-19_outbound_0,490005945G,2020-05-19 17:23:17,2020-05-19 16:56:25.372,outbound
7275_490002083A_2020-05-19_outbound_0,490002083A,2020-05-19 16:59:58,2020-05-19 16:56:25.847,outbound
6890_490002083A_2020-05-19_outbound_0,490002083A,2020-05-19 17:04:52,2020-05-19 16:56:25.847,outbound
7440_490002083A_2020-05-19_outbound_0,490002083A,2020-05-19 17:17:33,2020-05-19 16:56:25.847,outbound
6507_490002083A_2020-05-19_outbound_0,490002083A,2020-05-19 17:25:26,2020-05-19 16:56:25.847,outbound
7440_490003783S_2020-05-19_outbound_0,490003783S,2020-05-19 17:13:04,2020-05-19 16:56:26.309,outbound
6507_490003783S_2020-05-19_outbound_0,490003783S,2020-05-19 17:18:41,2020-05-19 16:56:26.309,outbound
7442_490012181N_2020-05-19_inbound_0,490012181N,2020-05-19 17:00:28,2020-05-19 16:56:26.783,inbound
6139_490012181N_2020-05-19_inbound_0,490012181N,2020-05-19 17:11:20,2020-05-19 16:56:26.783,inbound
6139_490008507N2_2020-05-19_inbound_0,490008507N2,2020-05-19 17:05:00,2020-05-19 16:56:27.269,inbound
7440_490007535S_2020-05-19_outbound_0,490007535S,2020-05-19 17:02:37,2020-05-19 16:56:27.715,outbound
6507_490007535S_2020-05-19_outbound_0,490007535S,2020-05-19 17:06:32,2020-05-19 16:56:27.715,outbound
6888_490007535S_2020-05-19_outbound_0,490007535S,2020-05-19 17:16:32,2020-05-19 16:56:27.715,outbound
7335_490006025N_2020-05-19_inbound_0,490006025N,2020-05-19 17:12:15,2020-05-19 16:56:28.189,inbound
5494_490006025N_2020-05-19_inbound_0,490006025N,2020-05-19 17:05:30,2020-05-19 16:56:28.189,inbound
7442_490006025N_2020-05-19_inbound_0,490006025N,2020-05-19 17:25:17,2020-05-19 16:56:28.189,inbound
7335_490003352S_2020-05-19_inbound_0,490003352S,2020-05-19 17:10:06,2020-05-19 16:56:28.691,inbound
5494_490003352S_2020-05-19_inbound_0,490003352S,2020-05-19 17:02:38,2020-05-19 16:56:28.691,inbound
7442_490003352S_2020-05-19_inbound_0,490003352S,2020-05-19 17:20:42,2020-05-19 16:56:28.691,inbound
7440_490012255S_2020-05-19_outbound_0,490012255S,2020-05-19 17:03:22,2020-05-19 16:56:29.137,outbound
6507_490012255S_2020-05-19_outbound_0,490012255S,2020-05-19 17:07:19,2020-05-19 16:56:29.137,outbound
6888_490012255S_2020-05-19_outbound_0,490012255S,2020-05-19 17:17:19,2020-05-19 16:56:29.137,outbound
6888_490005945K_2020-05-19_outbound_0,490005945K,2020-05-19 17:02:53,2020-05-19 16:56:29.669,outbound
7441_490005945K_2020-05-19_outbound_0,490005945K,2020-05-19 17:13:39,2020-05-19 16:56:29.669,outbound
6234_490005945K_2020-05-19_outbound_0,490005945K,2020-05-19 17:24:39,2020-05-19 16:56:29.669,outbound
7442_490005323N_2020-05-19_inbound_0,490005323N,2020-05-19 17:03:32,2020-05-19 16:56:30.126,inbound
6139_490005323N_2020-05-19_inbound_0,490005323N,2020-05-19 17:13:41,2020-05-19 16:56:30.126,inbound
7275_490009545S_2020-05-19_outbound_0,490009545S,2020-05-19 17:06:51,2020-05-19 16:56:30.564,outbound
6890_490009545S_2020-05-19_outbound_0,490009545S,2020-05-19 17:12:08,2020-05-19 16:56:30.564,outbound
6890_490011031S_2020-05-19_outbound_0,490011031S,2020-05-19 17:00:52,2020-05-19 16:56:31.08,outbound
7440_490011031S_2020-05-19_outbound_0,490011031S,2020-05-19 17:16:49,2020-05-19 16:56:31.08,outbound
6507_490011031S_2020-05-19_outbound_0,490011031S,2020-05-19 17:20:41,2020-05-19 16:56:31.08,outbound
7335_490011031S_2020-05-19_inbound_0,490011031S,2020-05-19 17:02:33,2020-05-19 16:56:31.517,inbound
7442_490011031S_2020-05-19_inbound_0,490011031S,2020-05-19 17:13:43,2020-05-19 16:56:31.517,inbound
6139_490011031S_2020-05-19_inbound_0,490011031S,2020-05-19 17:25:06,2020-05-19 16:56:31.517,inbound
7275_490013550E_2020-05-19_outbound_0,490013550E,2020-05-19 17:12:06,2020-05-19 16:56:31.981,outbound
6890_490013550E_2020-05-19_outbound_0,490013550E,2020-05-19 17:15:41,2020-05-19 16:56:31.981,outbound
7335_490002083A_2020-05-19_inbound_0,490002083A,2020-05-19 16:58:41,2020-05-19 16:56:33.153,inbound
