vehicle_id,bus_stop_name,expected_arrival,time_of_req,direction,arrived
9890_490010531OS_2020-05-12_in_0,New Bond Street,2020-05-12 08:08:27,2020-05-12 08:08:33,in,1
10543_490014869W_2020-05-12_in_0,Latymer Upper School / Playing Fields,2020-05-12 08:08:46,2020-05-12 08:08:27,in,1
19404_490000131A_2020-05-12_out_0,Ladbroke Grove Station,2020-05-12 08:08:36,2020-05-12 08:08:23,out,1
10543_490007707E_2020-05-12_in_0,Hammersmith Hospital,2020-05-12 08:10:03,2020-05-12 08:10:04,in,1
19404_490011137E1_2020-05-12_out_0,Portobello Road,2020-05-12 08:09:52,2020-05-12 08:08:25,out,1
10545_490015061O_2020-05-12_out_0,Brunel Road,2020-05-12 08:10:20,2020-05-12 08:08:36,out,1
10432_490001221F_2020-05-12_out_0,Paddington Station,2020-05-12 08:10:08,2020-05-12 08:10:08,out,1
19404_490011158E_2020-05-12_out_0,Powis Gardens,2020-05-12 08:10:38,2020-05-12 08:08:26,out,1
10545_490013349A_2020-05-12_out_0,The Fairway,2020-05-12 08:10:50,2020-05-12 08:08:39,out,1
10545_490006211B_2020-05-12_out_0,East Acton Station  / Erconwald Street,2020-05-12 08:10:08,2020-05-12 08:09:47,out,1
9890_490000144K_2020-05-12_in_0,Marble Arch Station,2020-05-12 08:10:49,2020-05-12 08:10:08,in,1
9890_490000144E_2020-05-12_in_0,Marble Arch / Edgware Road,2020-05-12 08:12:25,2020-05-12 08:11:23,in,1
10432_490012797N_2020-05-12_out_0,St Mary's Hospital,2020-05-12 08:11:06,2020-05-12 08:10:14,out,1
10543_490000065H_2020-05-12_in_0,East Acton Station,2020-05-12 08:12:23,2020-05-12 08:08:31,in,1
10545_490000065C_2020-05-12_out_0,East Acton Station / Fitzneal Street,2020-05-12 08:11:36,2020-05-12 08:11:22,out,1
10543_490014971D_2020-05-12_in_0,Wulfstan Street,2020-05-12 08:11:20,2020-05-12 08:08:37,in,1
10543_490015061O_2020-05-12_in_0,Brunel Road,2020-05-12 08:13:57,2020-05-12 08:11:39,in,1
10432_490013046N_2020-05-12_out_0,Sussex Gardens,2020-05-12 08:12:44,2020-05-12 08:11:13,out,1
10545_490014971D_2020-05-12_out_0,Wulfstan Street,2020-05-12 08:12:37,2020-05-12 08:11:16,out,1
10543_490009299N_2020-05-12_in_0,Long Drive,2020-05-12 08:13:16,2020-05-12 08:12:50,in,1
10543_490013349A_2020-05-12_in_0,The Fairway,2020-05-12 08:13:16,2020-05-12 08:13:07,in,1
19404_490012948S_2020-05-12_out_0,St Stephens Gardens,2020-05-12 08:13:37,2020-05-12 08:11:17,out,1
10432_490007167V_2020-05-12_out_0,George Street,2020-05-12 08:13:57,2020-05-12 08:11:19,out,1
9890_490007167N1_2020-05-12_in_0,Burwood Place,2020-05-12 08:14:29,2020-05-12 08:14:24,in,1
10432_490000144K_2020-05-12_out_0,Marble Arch Station,2020-05-12 08:15:25,2020-05-12 08:09:50,out,1
10545_490007707E_2020-05-12_out_0,Hammersmith Hospital,2020-05-12 08:14:04,2020-05-12 08:11:17,out,1
19404_490014402E_2020-05-12_out_0,Chepstow Road / Westbourne Grove,2020-05-12 08:15:02,2020-05-12 08:10:02,out,1
9890_490013046N_2020-05-12_in_0,Sussex Gardens,2020-05-12 08:14:56,2020-05-12 08:11:27,in,1
19404_490011119L_2020-05-12_out_0,Porchester Terrace North,2020-05-12 08:15:26,2020-05-12 08:14:23,out,1
10545_490014869W_2020-05-12_out_0,Latymer Upper School / Playing Fields,2020-05-12 08:15:31,2020-05-12 08:11:37,out,1
19404_490011365F_2020-05-12_out_0,Queensway,2020-05-12 08:16:04,2020-05-12 08:10:11,out,1
9890_490012797N_2020-05-12_in_0,St Mary's Hospital,2020-05-12 08:16:42,2020-05-12 08:15:46,in,1
19404_490014406E1_2020-05-12_out_0,Bishops Bridge Road / Westbourne Terrace,2020-05-12 08:17:09,2020-05-12 08:15:58,out,1
10432_490011985E_2020-05-12_out_0,Selfridges,2020-05-12 08:17:15,2020-05-12 08:14:07,out,1
10545_490008175W_2020-05-12_out_0,Highlever Road,2020-05-12 08:18:17,2020-05-12 08:17:30,out,1
9890_490001221F_2020-05-12_in_0,Paddington Station,2020-05-12 08:18:06,2020-05-12 08:09:58,in,1
10545_490010398N_2020-05-12_out_0,North Pole Road,2020-05-12 08:17:16,2020-05-12 08:17:12,out,1
10545_490011962E_2020-05-12_out_0,North Pole Road / Scrubs Lane,2020-05-12 08:17:43,2020-05-12 08:17:19,out,1
10545_490005936E_2020-05-12_out_0,Dalgarno Gardens,2020-05-12 08:19:11,2020-05-12 08:17:04,out,1
9890_490006321D_2020-05-12_in_0,Paddington Stn / Eastbourne Terrace,2020-05-12 08:18:55,2020-05-12 08:18:38,in,1
19404_490001221F_2020-05-12_out_0,Paddington Station,2020-05-12 08:19:34,2020-05-12 08:15:57,out,1
10432_490015196OF_2020-05-12_out_0,Oxford Circus Station  / John Lewis,2020-05-12 08:19:04,2020-05-12 08:17:31,out,1
10545_490012645S_2020-05-12_out_0,St Charles Health & Wellbeing Centre,2020-05-12 08:20:03,2020-05-12 08:17:11,out,1
10545_490012646N_2020-05-12_out_0,St Charles Square,2020-05-12 08:20:52,2020-05-12 08:17:25,out,1
19404_490012797N_2020-05-12_out_0,St Mary's Hospital,2020-05-12 08:20:56,2020-05-12 08:20:35,out,1
9890_490014406W_2020-05-12_in_0,Westbourne Terrace,2020-05-12 08:20:20,2020-05-12 08:20:13,in,1
9890_490007252W_2020-05-12_in_0,Gloucester Terrace,2020-05-12 08:21:42,2020-05-12 08:21:45,in,1
19404_490013046N_2020-05-12_out_0,Sussex Gardens,2020-05-12 08:21:48,2020-05-12 08:21:38,out,1
10545_490004699S_2020-05-12_out_0,Oxford Gardens,2020-05-12 08:21:45,2020-05-12 08:08:20,out,1
9890_490011365G_2020-05-12_in_0,Westbourne Grove / Queensway,2020-05-12 08:22:27,2020-05-12 08:21:59,in,1
10545_490004702L_2020-05-12_out_0,Cambridge Gardens / Ladbroke Grove,2020-05-12 08:22:27,2020-05-12 08:08:22,out,1
10543_490006211B_2020-05-12_out_0,East Acton Station  / Erconwald Street,2020-05-12 08:26:12,2020-05-12 08:26:02,out,1
10545_490000131A_2020-05-12_out_0,Ladbroke Grove Station,2020-05-12 08:23:22,2020-05-12 08:08:23,out,1
19404_490007167V_2020-05-12_out_0,George Street,2020-05-12 08:24:00,2020-05-12 08:23:11,out,1
9890_490014402A_2020-05-12_in_0,Artesian Road,2020-05-12 08:24:33,2020-05-12 08:23:26,in,1
19404_490000144K_2020-05-12_out_0,Marble Arch Station,2020-05-12 08:25:49,2020-05-12 08:23:08,out,1
10432_490000173OQ_2020-05-12_in_0,Oxford Circus Stn  / Harewood Place,2020-05-12 08:24:20,2020-05-12 08:08:46,in,1
10432_490010531OS_2020-05-12_in_0,New Bond Street,2020-05-12 08:24:50,2020-05-12 08:08:33,in,1
10545_490011137E1_2020-05-12_out_0,Portobello Road,2020-05-12 08:24:50,2020-05-12 08:08:25,out,1
9890_490012948S_2020-05-12_in_0,St Stephens Gardens,2020-05-12 08:25:27,2020-05-12 08:23:14,in,1
10543_490015061O_2020-05-12_out_0,Brunel Road,2020-05-12 08:25:20,2020-05-12 08:08:36,out,1
10545_490011158E_2020-05-12_out_0,Powis Gardens,2020-05-12 08:25:36,2020-05-12 08:08:26,out,1
10543_490013349A_2020-05-12_out_0,The Fairway,2020-05-12 08:25:44,2020-05-12 08:08:39,out,1
10545_490012948S_2020-05-12_out_0,St Stephens Gardens,2020-05-12 08:27:26,2020-05-12 08:08:25,out,1
10432_490000144K_2020-05-12_in_0,Marble Arch Station,2020-05-12 08:26:42,2020-05-12 08:23:27,in,1
19404_490011985E_2020-05-12_out_0,Selfridges,2020-05-12 08:27:00,2020-05-12 08:26:01,out,1
