vehicle_id,bus_stop_name,direction,expected_arrival,timestamp,arrived
15448_490007705F_2020-02-17_0,Hammersmith Bus Station,0,2020-02-17 22:44:36,2020-02-17 22:44:35,True
15446_490007705F_2020-02-17_0,Hammersmith Bus Station,1,2020-02-17 22:23:10,2020-02-17 22:23:31,True
14876_490007960R_2020-02-17_0,Haymarket / Jermyn Street,1,2020-02-17 22:37:11,2020-02-17 22:36:54,True
14462_490007960R_2020-02-17_0,Haymarket / Jermyn Street,1,2020-02-17 22:30:43,2020-02-17 22:30:34,True
15446_490007960R_2020-02-17_0,Haymarket / Jermyn Street,1,2020-02-17 22:49:01,2020-02-17 22:47:51,True
15446_490008287E_2020-02-17_0,Holland Road,1,2020-02-17 22:27:38,2020-02-17 22:27:09,True
15446_490008652A_2020-02-17_0,Kensington Olympia Station,1,2020-02-17 22:26:49,2020-02-17 22:26:31,True
15447_490008652A_2020-02-17_0,Kensington Olympia Station,0,2020-02-17 22:26:11,2020-02-17 22:26:31,True
15448_490008652A_2020-02-17_0,Kensington Olympia Station,0,2020-02-17 22:38:33,2020-02-17 22:38:50,True
15457_490008652A_2020-02-17_0,Kensington Olympia Station,0,2020-02-18 00:16:00,2020-02-17 23:59:24.640000,True
14876_490000130KE_2020-02-17_0,Knightsbridge Station  / Harrods,1,2020-02-17 22:24:12,2020-02-17 22:24:10,True
15446_490000130KE_2020-02-17_0,Knightsbridge Station  / Harrods,1,2020-02-17 22:39:38,2020-02-17 22:39:29,True
15446_490008990J_2020-02-17_0,Latymer Court,1,2020-02-17 22:24:44,2020-02-17 22:24:10,True
15453_490008990J_2020-02-17_0,Latymer Court,0,2020-02-17 22:23:34,2020-02-17 22:23:31,True
15447_490008990J_2020-02-17_0,Latymer Court,0,2020-02-17 22:29:20,2020-02-17 22:27:10,True
15448_490008990J_2020-02-17_0,Latymer Court,0,2020-02-17 22:42:08,2020-02-17 22:42:02,True
15457_490008990J_2020-02-17_0,Latymer Court,0,2020-02-18 00:18:25,2020-02-17 23:59:24.908000,True
15447_490010357B_2020-02-17_0,North End Road,0,2020-02-17 22:27:49,2020-02-17 22:27:10,True
15448_490010357B_2020-02-17_0,North End Road,0,2020-02-17 22:41:02,2020-02-17 22:40:46,True
15457_490010357B_2020-02-17_0,North End Road,0,2020-02-18 00:16:56,2020-02-17 23:59:25.017000,True
15446_490010357B_2020-02-17_0,North End Road,1,2020-02-17 22:26:14,2020-02-17 22:26:32,True
15457_490010526G_2020-02-17_0,Old Bond Street / Royal Academy,0,2020-02-18 00:00:19,2020-02-17 23:59:25.189000,True
14576_490010526G_2020-02-17_0,Old Bond Street / Royal Academy,0,2020-02-17 22:40:19,2020-02-17 22:40:08,True
14468_490010526G_2020-02-17_0,Old Bond Street / Royal Academy,0,2020-02-17 22:50:29,2020-02-17 22:50:38,True
14462_490010574C_2020-02-17_0,Old Park Lane / Hard Rock Cafe,1,2020-02-17 22:23:50,2020-02-17 22:23:32,True
14876_490010574C_2020-02-17_0,Old Park Lane / Hard Rock Cafe,1,2020-02-17 22:29:35,2020-02-17 22:29:19,True
15446_490010574C_2020-02-17_0,Old Park Lane / Hard Rock Cafe,1,2020-02-17 22:42:57,2020-02-17 22:42:41,True
15446_490010728E_2020-02-17_0,Palace Gate,1,2020-02-17 22:35:19,2020-02-17 22:35:01,True
15448_490010728E_2020-02-17_0,Palace Gate,0,2020-02-17 22:33:13,2020-02-17 22:33:07,True
15457_490010728E_2020-02-17_0,Palace Gate,0,2020-02-18 00:10:06,2020-02-17 23:59:25.468000,True
14576_490010728E_2020-02-17_0,Palace Gate,0,2020-02-17 22:53:07,2020-02-17 22:52:36,True
15447_490010984T_2020-02-17_0,Phillimore Gardens,0,2020-02-17 22:23:11,2020-02-17 22:23:32,True
15448_490010984T_2020-02-17_0,Phillimore Gardens,0,2020-02-17 22:36:27,2020-02-17 22:36:17,True
15457_490010984T_2020-02-17_0,Phillimore Gardens,0,2020-02-18 00:13:25,2020-02-17 23:59:25.586000,True
15446_490010984T_2020-02-17_0,Phillimore Gardens,1,2020-02-17 22:31:27,2020-02-17 22:31:52,True
15446_490011198E_2020-02-17_0,Prince Of Wales Gate,1,2020-02-17 22:38:56,2020-02-17 22:38:13,True
15448_490011198E_2020-02-17_0,Prince Of Wales Gate,0,2020-02-17 22:30:17,2020-02-17 22:29:58,True
15457_490011198E_2020-02-17_0,Prince Of Wales Gate,0,2020-02-18 00:07:32,2020-02-17 23:59:25.892000,True
14576_490011198E_2020-02-17_0,Prince Of Wales Gate,0,2020-02-17 22:49:31,2020-02-17 22:49:53,True
15446_490011334E1_2020-02-17_0,Queen's Gate,1,2020-02-17 22:35:52,2020-02-17 22:35:40,True
15457_490011515Z_2020-02-17_0,Regent Street / St James's,0,2020-02-17 23:57:21,2020-02-17 23:57:31,True
14576_490011515Z_2020-02-17_0,Regent Street / St James's,0,2020-02-17 22:36:34,2020-02-17 22:36:56,True
14468_490011515Z_2020-02-17_0,Regent Street / St James's,0,2020-02-17 22:47:25,2020-02-17 22:47:53,True
14462_490010526G_2020-02-17_0,Old Bond Street / Royal Academy,1,2020-02-17 22:26:39,2020-02-17 22:26:33,True
14876_490010526G_2020-02-17_0,Old Bond Street / Royal Academy,1,2020-02-17 22:34:14,2020-02-17 22:33:46,True
15446_490010526G_2020-02-17_0,Old Bond Street / Royal Academy,1,2020-02-17 22:46:02,2020-02-17 22:45:55,True
15446_490011750E_2020-02-17_0,Royal Albert Hall,1,2020-02-17 22:36:25,2020-02-17 22:36:18,True
15448_490011750E_2020-02-17_0,Royal Albert Hall,0,2020-02-17 22:31:55,2020-02-17 22:31:52,True
15457_490011750E_2020-02-17_0,Royal Albert Hall,0,2020-02-18 00:09:16,2020-02-17 23:59:26.361000,True
14576_490011750E_2020-02-17_0,Royal Albert Hall,0,2020-02-17 22:51:49,2020-02-17 22:51:58,True
15446_490011761M_2020-02-17_0,Kensington Palace,1,2020-02-17 22:34:17,2020-02-17 22:34:24,True
15448_490011761M_2020-02-17_0,Kensington Palace,0,2020-02-17 22:34:03,2020-02-17 22:33:46,True
